any_academic,assignatura,codi_assignatura,grup,NIA,pla,tipus,curs,semestre,exhaurides,superada,nota_numerica,nota_alfa
2014,Quim,200143,301,1401854,878,B,1,2,3,N,3.0,SS
2014,EMedi,200144,301,1401854,878,O,1,2,2,S,4.1,SS
2014,Quim,200143,901,1156130,878,B,1,2,1,N,0.0,NP
2014,EMedi,200144,801,1156130,878,O,1,2,1,N,1.6,SS
2014,AMCI,200146,701,1156130,878,O,2,1,1,N,0.0,NP
2014,ReMa,200153,701,1156130,878,O,2,2,1,N,0.0,NP
2014,SPrIn,200158,701,1156130,878,O,3,1,1,N,0.0,NP
2014,SisEn,200154,701,1202208,879,O,2,2,3,S,0.0,NP
2014,Emp,200135,701,1401884,878,B,1,1,1,S,6.3,AP
2014,Fis,200136,401,1401884,878,B,1,1,1,N,3.0,SS
2014,Inf,200137,401,1401884,878,B,1,1,1,S,5.2,AP
2014,Mates,200138,401,1401884,878,B,1,1,1,N,0.0,NP
2014,Antr,200139,401,1401884,878,O,1,1,1,S,5.0,AP
2014,Calc,200140,401,1401884,878,B,1,2,1,N,2.7,SS
2014,EGraf,200141,401,1401884,878,B,1,2,1,N,0.1,SS
2014,FisEl,200142,401,1401884,878,B,1,2,1,N,1.0,SS
2014,Quim,200143,401,1401884,878,B,1,2,1,N,3.0,SS
2014,EMedi,200144,401,1401884,878,O,1,2,1,S,6.1,AP
2014,Fis,200136,801,1401970,879,B,1,1,1,S,6.7,AP
2014,Inf,200137,801,1401970,879,B,1,1,1,S,6.6,AP
2014,Fis,200136,701,1400803,879,B,1,1,3,S,3.0,SS
2014,Inf,200137,701,1400803,879,B,1,1,2,S,1.7,SS
2014,Mates,200138,701,1400803,879,B,1,1,2,S,0.0,NP
2014,Antr,200139,701,1400803,879,O,1,1,2,S,0.0,NP
2014,Calc,200140,701,1400803,879,B,1,2,3,S,0.0,NP
2014,EGraf,200141,701,1400803,879,B,1,2,2,S,1.0,SS
